guid,fid,name,cr,size,type,tags,section,alignment,environment,ac,hp,init,lair?,legendary?,unique?,sources
d9af029b-c451-4d74-bbf8-8fb25fdd609b,abyss.male-steeder,Male Steeder,1/4,Medium,Beast,,,unaligned,,12,13,1,,,,Out of the Abyss: 231
516ba46d-27c1-4f5b-afc3-a4b216c88d52,abyss.narrak,Narrak,2,Small,Humanoid,Derro,,chaotic evil,,12,40,2,,,unique,Out of the Abyss: 232
d6b88949-50e7-4b5f-b15a-7541485cfa62,abyss.orcus,Orcus,26,Huge,Fiend,Demon,Demon Lords,chaotic evil,,17 (20 with Wand of Orcus),405,2,,legendary,unique,Out of the Abyss: 245
5772d898-4440-4583-b157-73714db987db,abyss.the-pudding-king,The Pudding King,4,Small,Humanoid,"Gnome, Shapechanger",,chaotic evil,,13,49,4,,,unique,Out of the Abyss: 233
00a707e5-c44c-43ad-9568-e576abe476a1,abyss.troglodyte-champion-of-laogzed,Troglodyte Champion of Laogzed,3,Medium,Humanoid,Troglodyte,,chaotic evil,,14,59,1,,,,Out of the Abyss: 229
8ccf2d1c-a9d9-48af-a91b-cceb1cd258cc,abyss.vampiric-ixitxachitl,Vampiric Ixitxachitl,2,Medium,Aberration,,,chaotic evil,,16,44,4,,,,Out of the Abyss: 226
d6d31cb2-1b0a-4953-8301-4c16cb51434e,abyss.yeenoghu,Yeenoghu,24,Huge,Fiend,Demon,Demon Lords,chaotic evil,,22,348,3,,legendary,unique,Out of the Abyss: 247
e49a7f28-3cf5-4778-b316-0b9fed11cca6,abyss.yestabrod,Yestabrod,4,Large,Monstrosity,,,chaotic evil,,15,75,0,,legendary,unique,Out of the Abyss: 233
14a4af4f-0916-4015-9006-5c71985b07c5,abyss.zuggtmoy,Zuggtmoy,23,Large,Fiend,Demon,Demon Lords,chaotic evil,,18,304,2,,legendary,unique,Out of the Abyss: 249
42e798b0-d4ce-48d8-9e2e-eb12b44ec2f9,apoc.aerisi-kalinoth,Aerisi Kalinoth,7,Medium,Humanoid,Elf,Howling Hatred Cultists,neutral evil,,13,66,3,,,unique,Princes of the Apocalypse: 192
110da8de-4ec0-4b5e-b531-c8a34d355a4b,apoc.aerisi-kalinoth-in-lair,Aerisi Kalinoth (in lair),9,Medium,Humanoid,Elf,Howling Hatred Cultists,neutral evil,,13,66,3,lair,,unique,Princes of the Apocalypse: 192
e3d1956e-2243-4e4f-9794-ed71f0160122,apoc.air-elemental-myrmidon,Air Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",18,117,2,,,,Princes of the Apocalypse: 212
952018b8-9f08-4f18-827e-2dcd7e5e367a,apoc.bastian-thermandar,Bastian Thermandar,8,Medium,Humanoid,Fire genasi,Eternal Flame Cultists,chaotic evil,,12,78,2,,,unique,Princes of the Apocalypse: 201
e677e29f-eba3-44ae-ae6e-47c5141291e1,apoc.black-earth-guard,Black Earth Guard,2,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",18,39,0,,,,Princes of the Apocalypse: 195
3a6fb726-4468-49fe-b079-1ca3daf8794d,apoc.black-earth-priest,Black Earth Priest,3,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",17,45,0,,,,Princes of the Apocalypse: 195
6511413e-afd9-425d-a2d8-13c245bfff9a,apoc.burrow-shark,Burrow Shark,4,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",18,82,1,,,,Princes of the Apocalypse: 196
10a656be-585c-4e2d-89fc-a44d742c0650,apoc.crushing-wave-priest,Crushing Wave Priest,2,Medium,Humanoid,Human,Crushing Wave Cultists,neutral evil,"aquatic, cave, coast, grassland, swamp, underground",13,52,0,,,,Princes of the Apocalypse: 205
0d17db23-30dd-4e07-9b8f-1ea31879a5f4,apoc.crushing-wave-reaver,Crushing Wave Reaver,1/2,Medium,Humanoid,Human,Crushing Wave Cultists,neutral evil,"aquatic, cave, coast, grassland, swamp, underground",14,22,2,,,,Princes of the Apocalypse: 205
f276978d-37ac-4acd-9559-52d3281365c6,apoc.dark-tide-knight,Dark Tide Knight,3,Medium,Humanoid,Human,Crushing Wave Cultists,lawful evil,"aquatic, cave, coast, grassland, swamp, underground",13,58,3,,,,Princes of the Apocalypse: 205
c0ac9048-9d40-418a-b3b1-cdc58843e1cb,apoc.drannin-splithelm,Drannin Splithelm,7,Medium,Humanoid,Shield dwarf,Other Villains,neutral evil,,18,93,0,,,unique,Princes of the Apocalypse: 210
f8ae5941-9f22-4089-a9ea-43c0163771c1,apoc.earth-elemental-myrmidon,Earth Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",18,127,0,,,,Princes of the Apocalypse: 212
19bb278f-988d-4c48-9fde-10e4ff357c19,apoc.elizar-dryflagon,Elizar Dryflagon,5,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,,14,71,2,,,unique,Princes of the Apocalypse: 202
11506c53-58eb-4732-a877-570ed1fb4408,apoc.eternal-flame-guardian,Eternal Flame Guardian,2,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",17,45,1,,,,Princes of the Apocalypse: 200
81ff5c00-72f3-4225-96a4-0453a57aff9c,apoc.eternal-flame-priest,Eternal Flame Priest,3,Medium,Humanoid,Human,Eternal Flame Cultists,neutral evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",12,52,2,,,,Princes of the Apocalypse: 200
151a7399-6612-4424-8a67-da8419f2af1d,apoc.fathomer,Fathomer,2,Medium,Humanoid,Human,Crushing Wave Cultists,neutral evil,"aquatic, cave, coast, grassland, swamp, underground",10,52,0,,,,Princes of the Apocalypse: 207
feadfec7-96a7-4ff2-8b22-6f6ab232d6d5,apoc.feathergale-knight,Feathergale knight,1,Medium,Humanoid,Human,Howling Hatred Cultists,lawful evil,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins",16,33,2,,,,Princes of the Apocalypse: 189
a52b610e-729b-42bd-b124-62835ed4932b,apoc.fire-elemental-myrmidon,Fire Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"cave, coast, desert, dungeon, grassland, mountain, planar, ruins, swamp, underground, urban",18,117,4,,,,Princes of the Apocalypse: 213
530d4e60-7c5f-4d84-aff8-608a033ec85f,apoc.flamewrath,Flamewrath,6,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",12,105,2,,,,Princes of the Apocalypse: 201
77336909-5839-48c4-954d-3eaf416dc729,apoc.gar-shatterkeel,Gar Shatterkeel,9,Medium,Humanoid,Human,Crushing Wave Cultists,chaotic evil,,16,112,2,,,unique,Princes of the Apocalypse: 208
9b6c6412-5a3d-4ff1-8151-376eac201182,apoc.gar-shatterkeel-in-lair,Gar Shatterkeel (in lair),13,Medium,Humanoid,Human,Crushing Wave Cultists,chaotic evil,,16,112,2,,,unique,Princes of the Apocalypse: 208
788ad772-47f1-442f-a7f8-74988b191b11,apoc.ghald,Ghald,7,Medium,Humanoid,Sahuagin,Other Villains,lawful evil,,15,102,3,,,unique,Princes of the Apocalypse: 210
808b9d5b-9de0-4692-88b3-c3c589cd04c2,apoc.hellenrae,Hellenrae,5,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,,16,78,4,,,unique,Princes of the Apocalypse: 198
0ba96911-ae8f-4a67-ab56-e206b404a16c,apoc.howling-hatred-initiate,Howling Hatred Initiate,1/8,Medium,Humanoid,Human,Howling Hatred Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins",13,9,2,,,,Princes of the Apocalypse: 190
d54be24f-498d-41b6-9947-fe0d3eab8bda,apoc.howling-hatred-priest,Howling Hatred Priest,2,Medium,Humanoid,Human,Howling Hatred Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins",15,45,3,,,,Princes of the Apocalypse: 190
64954fd2-b46e-4c35-95b4-4c6ff153fb41,apoc.hurricane,Hurricane,2,Medium,Humanoid,Human,Howling Hatred Cultists,lawful evil,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins",14,33,3,,,,Princes of the Apocalypse: 191
83b24acd-ca3b-416c-b66e-aa750c33581f,apoc.imix,Imix,19,Huge,Elemental,,Princes of Elemental Evil,neutral evil,,17,325,7,lair,legendary,unique,Princes of the Apocalypse: 214
d4f4981c-f46b-4a18-a9c0-62bda3aee9b0,apoc.marlos-urnrayle,Marlos Urnrayle,8,Medium,Monstrosity,,Black Earth Cultists,neutral evil,,15,136,0,,,unique,Princes of the Apocalypse: 199
21d312b3-de51-492a-966c-235c76960ff2,apoc.marlos-urnrayle-in-lair,Marlos Urnrayle (in lair),12,Medium,Monstrosity,,Black Earth Cultists,neutral evil,,15,136,0,,,unique,Princes of the Apocalypse: 199
474f3c52-7a41-4ffa-a882-42fa94b83fda,apoc.miraj-vizann,Miraj Vizann,6,Medium,Humanoid,Earth genasi,Black Earth Cultists,neutral evil,,10,82,0,,,unique,Princes of the Apocalypse: 198
b7d4b220-33f9-4326-beaa-a0935acc4f64,apoc.ogrmoch,Ogr̩moch,20,Huge,Elemental,,Princes of Elemental Evil,neutral evil,,20,526,0,lair,legendary,unique,Princes of the Apocalypse: 216
6cea5f48-7326-4c1e-bbeb-b117997c4d95,apoc.olhydra,Olhydra,18,Huge,Elemental,,Princes of Elemental Evil,neutral evil,,18,324,6,lair,legendary,unique,Princes of the Apocalypse: 218
eb3c332a-e5c8-4a50-a212-bc6041ceec4d,apoc.one-eyed-shiver,One-Eyed Shiver,3,Medium,Humanoid,Human,Crushing Wave Cultists,chaotic evil,"aquatic, cave, coast, grassland, swamp, underground",12,49,2,,,,Princes of the Apocalypse: 207
e1c70697-6681-42a7-9289-dcc8d441d422,apoc.oreioth,Oreioth,2,Medium,Humanoid,Human,Other Villains,chaotic evil,,11,39,1,,,unique,Princes of the Apocalypse: 212
f71b3427-cb38-4e49-afab-1e23f67c64a2,apoc.razerblast,Razerblast,5,Medium,Humanoid,Human,Eternal Flame Cultists,chaotic evil,"cave, desert, dungeon, forest, grassland, mountain, ruins, underground",17,112,0,,,,Princes of the Apocalypse: 201
7bfeb1e6-6ad4-4e1d-9565-993782b70f68,apoc.sacred-stone-monk,Sacred Stone Monk,1/2,Medium,Humanoid,Human,Black Earth Cultists,lawful evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",14,22,2,,,,Princes of the Apocalypse: 196
9653c256-e429-491a-82a4-14a7d35ccc7d,apoc.shoalar-quanderil,Shoalar Quanderil,4,Medium,Humanoid,Water genasi,Crushing Wave Cultists,chaotic evil,,10,60,1,,,unique,Princes of the Apocalypse: 208
a04fcf2a-bcce-4bce-b0d1-d8421034ef57,apoc.skyweaver,Skyweaver,3,Medium,Humanoid,Human,Howling Hatred Cultists,chaotic evil,"arctic, cave, coast, desert, dungeon, grassland, mountain, ruins",12,44,2,,,,Princes of the Apocalypse: 191
8468bebf-a893-41c9-9a52-63097a71535b,apoc.stonemelder,Stonemelder,4,Medium,Humanoid,Human,Black Earth Cultists,neutral evil,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, ruins, underground",17,75,0,,,,Princes of the Apocalypse: 197
b556c163-d83e-480e-b43c-20719bc337aa,apoc.thurl-merosska,Thurl Merosska,3,Medium,Humanoid,Human,Howling Hatred Cultists,lawful evil,,16,71,2,,,unique,Princes of the Apocalypse: 192
b2def732-06fb-483d-b0bd-41977e9726a4,apoc.vanifer,Vanifer,9,Medium,Humanoid,Tiefling,Eternal Flame Cultists,chaotic evil,,15,112,3,,,unique,Princes of the Apocalypse: 203
8e7bb425-8d3b-4051-8dc8-40fd31a79f12,apoc.vanifer-in-lair,Vanifer (in lair),12,Medium,Humanoid,Tiefling,Eternal Flame Cultists,chaotic evil,,15,112,3,lair,,unique,Princes of the Apocalypse: 203
c7d911b4-2ae2-4314-949e-df469804c176,apoc.water-elemental-myrmidon,Water Elemental Myrmidon,7,Medium,Elemental,,Elemental Myrmidons,neutral,"aquatic, arctic, cave, coast, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",18,127,2,,,,Princes of the Apocalypse: 213
489ae12c-5439-4bc0-8f7c-ab354a7bf3f3,apoc.wiggan-nettlebee,Wiggan Nettlebee,2,Medium,Humanoid,Halfling,Other Villains,neutral evil,,11,36,1,,,unique,Princes of the Apocalypse: 212
58a87589-0a1c-4d4c-9874-e61d7bbff92b,apoc.windharrow,Windharrow,3,Medium,Humanoid,Half-elf,Howling Hatred Cultists,neutral evil,,15,55,3,,,unique,Princes of the Apocalypse: 192
1dd55750-d131-4b9b-998b-d1ce9833e82b,apoc.yan-c-bin,Yan-C-Bin,18,Huge,Elemental,,Princes of Elemental Evil,neutral evil,,22,283,7,lair,legendary,unique,Princes of the Apocalypse: 221
f495d63f-f936-4985-a2d3-6a8ec2a20fb0,hoard.ambush-drake,Ambush Drake,1/2,Medium,Dragon,,,unaligned,"cave, dungeon, forest, mountain, ruins, swamp, urban",13,22,2,,,,Hoard of the Dragon Queen: 88
9e85c13d-ef1d-4baf-a01e-d8f59d8936ef,hoard.azbara-jos,Azbara Jos,4,Medium,Humanoid,Human,,lawful evil,,13,39,3,,,unique,Hoard of the Dragon Queen: 88
cd3d6e12-28d4-4f1b-a0f2-97a932f932e3,hoard.blagothkus,Blagothkus,9,Huge,Giant,Cloud giant,,neutral evil,,17,138,1,,,unique,Hoard of the Dragon Queen: 89
a3ac6397-dfed-4461-9f0b-d63a29ea429d,hoard.captain-othelstan,Captain Othelstan,5,Medium,Humanoid,Human,,lawful evil,,19,93,0,,,unique,Hoard of the Dragon Queen: 89
ddb767bf-4484-4d5e-b54d-b03a6f9c6795,hoard.dragonclaw,Dragonclaw,1,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",14,16,3,,,,"Hoard of the Dragon Queen: 89, Rise of Tiamat: 89"
3bb548b6-e049-4355-84cb-47bc1d94620a,hoard.dragonwing,Dragonwing,2,Medium,Humanoid,Human,,neutral evil,"dungeon, urban",14,32,3,,,,Hoard of the Dragon Queen: 89
c48931c8-30ce-4dca-bd44-367e0dac5296,hoard.dralmorrer-borngray,Dralmorrer Borngray,3,Medium,Humanoid,High-elf,,neutral evil,,16,52,2,,,unique,Hoard of the Dragon Queen: 90
70e1d732-ce01-4f48-b88b-1a45e1cd77df,hoard.frulam-mondath,Frulam Mondath,2,Medium,Humanoid,Human,,lawful evil,,16,44,0,,,unique,Hoard of the Dragon Queen: 90
a76fc0b1-2c1f-4847-aa54-fa889c212c3f,hoard.jamna-gleamsilver,Jamna Gleamsilver,1,Small,Humanoid,Gnome,,neutral,,15,22,3,,,unique,Hoard of the Dragon Queen: 91
708b2570-c88f-4e4f-a414-a98088faa52c,hoard.langdedrosa-cynwrath,Langdedrosa Cyanwrath,4,Medium,Humanoid,Half-Dragon,,lawful evil,,17,57,1,,,unique,Hoard of the Dragon Queen: 91
5210357f-f874-4807-bbf6-c203d6431ab4,hoard.pharblex-spattergoo,Pharblex Spattergoo,3,Medium,Humanoid,Bullywug,,chaotic evil,,15,59,1,,,unique,Hoard of the Dragon Queen: 91
8db8b7f3-375c-4e14-abd5-f26e6622f330,hoard.rath-modar,Rath Modar,6,Medium,Humanoid,Human,,lawful evil,,13,71,3,,,unique,"Hoard of the Dragon Queen: 92, Rise of Tiamat: 91"
84df86ca-cc90-4080-a65c-f99314bb351d,hoard.rezmir,Rezmir,7,Medium,Humanoid,Half-black dragon,,neutral evil,,13,90,3,,,unique,Hoard of the Dragon Queen: 93
bf42ec5e-94ff-4595-a36e-e7a5dba0d822,hoard.talis-the-white,Talis the White,5,Medium,Humanoid,Half-elf,,lawful evil,,18,58,1,,,unique,Hoard of the Dragon Queen: 93
0cd9a2e0-16bc-4c84-86c8-feb035c0b5d6,mm.aarakocra,Aarakocra,1/4,Medium,Humanoid,Aarakocra,,neutral good,"mountain, planar",12,13,2,,,,"Monster Manual: 12, Princes of the Apocalypse Online Supplement v1.0: 6"
43385a8d-759b-4f44-a712-d46069b8dd88,mm.aboleth,Aboleth,10,Large,Aberration,,,lawful evil,"aquatic, coast",17,135,-1,lair,legendary,,"Monster Manual: 13, Princes of the Apocalypse Online Supplement v1.0: 6"
52386d70-24c8-461a-ba1f-4fbaccc6d446,mm.abominable-yeti,Abominable Yeti,9,Huge,Monstrosity,,Yeti,chaotic evil,"arctic, cave, mountain",15,137,0,,,,Monster Manual: 306
f88906c2-146d-4abb-8537-8bf5e1d0ac97,mm.acolyte,Acolyte,1/4,Medium,Humanoid,any,NPCs,any,"arctic, desert, dungeon, forest, grassland, mountain, swamp, underground, urban",10,9,0,,,,"Basic Rules v1: 53, HotDQ supplement: 4, Monster Manual: 342"
925ae71b-869a-4067-aed6-803e50dc3e41,mm.adult-black-dragon,Adult Black Dragon,14,Huge,Dragon,,Dragons,chaotic evil,swamp,19,195,2,lair,legendary,,"Monster Manual: 88, Princes of the Apocalypse Online Supplement v1.0: 7"
437ddd59-2aa8-489f-bc2e-e9845a935947,mm.adult-blue-dracolich,Adult Blue Dracolich,17,Huge,Undead,,Dracolich,lawful evil,"desert, dungeon",19,225,0,lair,legendary,,Monster Manual: 84
0a70230e-18d8-49e3-898a-49e740acb4a2,mm.adult-blue-dragon,Adult Blue Dragon,16,Huge,Dragon,,Dragons,lawful evil,desert,19,225,0,lair,legendary,,"HotDQ supplement: 4, Monster Manual: 91"
02616673-2113-4e70-82fc-729b766d3c58,mm.adult-brass-dragon,Adult Brass Dragon,13,Huge,Dragon,,Dragons,chaotic good,"cave, underground",18,172,0,lair,legendary,,Monster Manual: 105
ac41ad48-6631-413e-8e68-6e29696c8f35,mm.adult-bronze-dragon,Adult Bronze Dragon,15,Huge,Dragon,,Dragons,lawful good,coast,19,212,0,lair,legendary,,"Monster Manual: 108, Princes of the Apocalypse Online Supplement v1.0: 7"
43984f24-324e-4656-ae7a-aeaaa14d74be,mm.adult-copper-dragon,Adult Copper Dragon,14,Huge,Dragon,,Dragons,chaotic good,"cave, desert, grassland",18,184,1,lair,legendary,,Monster Manual: 111
99872957-920d-4007-a66b-0f5922ba584d,mm.adult-gold-dragon,Adult Gold Dragon,17,Huge,Dragon,,Dragons,lawful good,"mountain, ruins",19,256,2,lair,legendary,,Monster Manual: 114
1182dfb4-3b70-4ce0-a41c-c5ff1ca6ad21,mm.adult-green-dragon,Adult Green Dragon,15,Huge,Dragon,,Dragons,lawful evil,forest,19,207,1,lair,legendary,,Monster Manual: 94
a27291de-91c5-4b8e-9ffe-5055e90cc6cd,mm.adult-red-dragon,Adult Red Dragon,17,Huge,Dragon,,Dragons,chaotic evil,mountain,19,256,0,lair,legendary,,"Basic Rules v1: 8, Monster Manual: 98"
4002e3ba-63b1-48a8-87d1-044a319cb02d,mm.adult-silver-dragon,Adult Silver Dragon,16,Huge,Dragon,,Dragons,lawful good,"arctic, mountain",19,243,0,lair,legendary,,Monster Manual: 117
4218c74b-27c2-45be-abde-e23ad4223061,mm.adult-white-dragon,Adult White Dragon,13,Huge,Dragon,,Dragons,chaotic evil,"arctic, cave, underground",18,200,0,lair,legendary,,"HotDQ supplement: 5, Monster Manual: 101"
071f1203-f6e6-4fcf-928c-b9cdeb256b2b,mm.air-elemental,Air Elemental,5,Large,Elemental,,Elementals,neutral,"arctic, cave, coast, desert, dungeon, forest, grassland, mountain, planar, ruins, swamp, underground",15,90,5,,,,"Basic Rules v1: 9, HotDQ supplement: 5, Monster Manual: 124"
4dfdcf3d-5bdc-4d4d-a55c-6a9149d97079,mm.allosaurus,Allosaurus,2,Large,Beast,,Dinosaurs,unaligned,"coast, grassland, swamp",13,51,1,,,,"Basic Rules v1: 9, Monster Manual: 79"
19a2039e-4cc1-4181-96d2-5f33d5d75764,mm.ancient-black-dragon,Ancient Black Dragon,21,Gargantuan,Dragon,,Dragons,chaotic evil,swamp,22,367,2,lair,legendary,,Monster Manual: 87
3e861d52-a964-4c84-8ffc-44a814e3070b,mm.ancient-blue-dragon,Ancient Blue Dragon,23,Gargantuan,Dragon,,Dragons,lawful evil,desert,22,481,0,lair,legendary,,Monster Manual: 90
75ff17b1-4f33-49ca-ae07-80088c028ea5,mm.ancient-brass-dragon,Ancient Brass Dragon,20,Gargantuan,Dragon,,Dragons,chaotic good,"cave, underground",20,297,0,lair,legendary,,Monster Manual: 104
49924bb6-804f-4150-870b-b14b85716129,mm.ancient-bronze-dragon,Ancient Bronze Dragon,22,Gargantuan,Dragon,,Dragons,lawful good,coast,22,444,0,lair,legendary,,Monster Manual: 107
e06dae63-02d4-41c4-b910-0831ca111514,mm.ancient-copper-dragon,Ancient Copper Dragon,21,Gargantuan,Dragon,,Dragons,chaotic good,"cave, desert, grassland",21,350,1,lair,legendary,,Monster Manual: 110
d830724d-8d58-4464-af65-3befceb878bf,mm.ancient-gold-dragon,Ancient Gold Dragon,24,Gargantuan,Dragon,,Dragons,lawful good,"mountain, ruins",22,546,2,lair,legendary,,Monster Manual: 113
67f50578-6e21-4e73-9d47-5a34d5d340c4,mm.ancient-green-dragon,Ancient Green Dragon,22,Gargantuan,Dragon,,Dragons,lawful evil,forest,21,385,1,lair,legendary,,Monster Manual: 93
fa6112d9-803c-4c9e-b995-41cb04b8872d,mm.ancient-red-dragon,Ancient Red Dragon,24,Gargantuan,Dragon,,Dragons,chaotic evil,mountain,22,546,0,lair,legendary,,Monster Manual: 97
867fd8db-72d8-4bc7-8d8a-272afe0c42c6,mm.ancient-silver-dragon,Ancient Silver Dragon,23,Gargantuan,Dragon,,Dragons,lawful good,"arctic, mountain",22,487,0,lair,legendary,,Monster Manual: 116
44702dbb-036c-4eee-923e-565cf17e77ac,mm.ancient-white-dragon,Ancient White Dragon,20,Gargantuan,Dragon,,Dragons,chaotic evil,"arctic, cave, underground",20,333,0,lair,legendary,,Monster Manual: 100
f0faeb6f-9112-467a-bf48-b4fb5e2f4b26,mm.androsphinx,Androsphinx,17,Large,Monstrosity,,Sphinxes,lawful neutral,"dungeon, ruins",17,199,0,lair,legendary,,Monster Manual: 281
3c5a63ab-b94f-4451-aa2a-02545b381797,mm.animated-armor,Animated Armor,1,Medium,Construct,,Animated Objects,unaligned,"dungeon, ruins, urban",18,33,0,,,,"Basic Rules v1: 9, Monster Manual: 19"
789c33ef-c5f6-484d-8bfe-5c520e7d3f82,mm.ankheg,Ankheg,2,Large,Monstrosity,,,unaligned,"coast, forest, grassland, underground","14, 11 while prone",39,0,,,,"Monster Manual: 21, Princes of the Apocalypse Online Supplement v1.0: 8"
935a62a6-3538-4ea8-a06c-adddef096e56,mm.ankylosaurus,Ankylosaurus,3,Huge,Beast,,Dinosaurs,unaligned,grassland,15,68,0,,,,"Basic Rules v1: 10, Monster Manual: 79"
0788c447-ada3-4bc2-aa38-bc9e08b186d4,mm.ape,Ape,1/2,Medium,Beast,,Misc Creatures,unaligned,forest,12,19,2,,,,"Basic Rules v1: 10, Monster Manual: 317"
f9ee20cb-0dff-4585-8f5f-95141f86f9dc,mm.arcanaloth,Arcanaloth,12,Medium,Fiend,Yugoloth,Yugoloths,neutral evil,"dungeon, planar",17,104,1,,,,Monster Manual: 313
d4aec3c5-0b0a-4fff-b77b-fe7c900d7d31,mm.archmage,Archmage,12,Medium,Humanoid,any,NPCs,any,"ruins, urban",12 (15 with mage armor),99,2,,,,Monster Manual: 342
